,episode,round,state,action,reward,done,model,environment
310,96,0,0,1.0,,,Q_learning,ABC
311,96,1,1,1.0,-1.0,False,Q_learning,ABC
312,96,2,2,,10.0,True,Q_learning,ABC
313,97,0,0,1.0,,,Q_learning,ABC
314,97,1,1,1.0,-1.0,False,Q_learning,ABC
315,97,2,2,,10.0,True,Q_learning,ABC
316,98,0,0,1.0,,,Q_learning,ABC
317,98,1,0,1.0,-1.0,False,Q_learning,ABC
318,98,2,1,1.0,-1.0,False,Q_learning,ABC
319,98,3,2,,10.0,True,Q_learning,ABC
320,99,0,0,1.0,,,Q_learning,ABC
321,99,1,0,1.0,-1.0,False,Q_learning,ABC
322,99,2,1,1.0,-1.0,False,Q_learning,ABC
323,99,3,2,,10.0,True,Q_learning,ABC
324,100,0,0,1.0,,,Q_learning,ABC
325,100,1,1,1.0,-1.0,False,Q_learning,ABC
326,100,2,2,,10.0,True,Q_learning,ABC
327,101,0,0,1.0,,,Q_learning,ABC
328,101,1,0,1.0,-1.0,False,Q_learning,ABC
329,101,2,1,1.0,-1.0,False,Q_learning,ABC
330,101,3,2,,10.0,True,Q_learning,ABC
331,102,0,0,1.0,,,Q_learning,ABC
332,102,1,1,1.0,-1.0,False,Q_learning,ABC
333,102,2,2,,10.0,True,Q_learning,ABC
334,103,0,0,1.0,,,Q_learning,ABC
335,103,1,1,1.0,-1.0,False,Q_learning,ABC
336,103,2,2,,10.0,True,Q_learning,ABC
337,104,0,0,1.0,,,Q_learning,ABC
338,104,1,1,1.0,-1.0,False,Q_learning,ABC
339,104,2,2,,10.0,True,Q_learning,ABC
340,105,0,0,1.0,,,Q_learning,ABC
341,105,1,1,1.0,-1.0,False,Q_learning,ABC
342,105,2,2,,10.0,True,Q_learning,ABC
343,106,0,0,1.0,,,Q_learning,ABC
344,106,1,1,1.0,-1.0,False,Q_learning,ABC
345,106,2,2,,10.0,True,Q_learning,ABC
346,107,0,0,1.0,,,Q_learning,ABC
347,107,1,0,1.0,-1.0,False,Q_learning,ABC
348,107,2,1,1.0,-1.0,False,Q_learning,ABC
349,107,3,2,,10.0,True,Q_learning,ABC
350,108,0,0,1.0,,,Q_learning,ABC
351,108,1,1,1.0,-1.0,False,Q_learning,ABC
352,108,2,2,,10.0,True,Q_learning,ABC
353,109,0,0,1.0,,,Q_learning,ABC
354,109,1,1,1.0,-1.0,False,Q_learning,ABC
355,109,2,2,,10.0,True,Q_learning,ABC
356,110,0,0,1.0,,,Q_learning,ABC
357,110,1,1,1.0,-1.0,False,Q_learning,ABC
358,110,2,1,1.0,-1.0,False,Q_learning,ABC
359,110,3,2,,10.0,True,Q_learning,ABC
360,111,0,0,1.0,,,Q_learning,ABC
361,111,1,1,1.0,-1.0,False,Q_learning,ABC
362,111,2,2,,10.0,True,Q_learning,ABC
363,112,0,0,1.0,,,Q_learning,ABC
364,112,1,1,1.0,-1.0,False,Q_learning,ABC
365,112,2,2,,10.0,True,Q_learning,ABC
366,113,0,0,1.0,,,Q_learning,ABC
367,113,1,1,1.0,-1.0,False,Q_learning,ABC
368,113,2,2,,10.0,True,Q_learning,ABC
369,114,0,0,1.0,,,Q_learning,ABC
370,114,1,1,1.0,-1.0,False,Q_learning,ABC
371,114,2,2,,10.0,True,Q_learning,ABC
372,115,0,0,1.0,,,Q_learning,ABC
373,115,1,1,1.0,-1.0,False,Q_learning,ABC
374,115,2,2,,10.0,True,Q_learning,ABC
375,116,0,0,1.0,,,Q_learning,ABC
376,116,1,1,1.0,-1.0,False,Q_learning,ABC
377,116,2,2,,10.0,True,Q_learning,ABC
378,117,0,0,1.0,,,Q_learning,ABC
379,117,1,1,1.0,-1.0,False,Q_learning,ABC
380,117,2,2,,10.0,True,Q_learning,ABC
381,118,0,0,1.0,,,Q_learning,ABC
382,118,1,1,1.0,-1.0,False,Q_learning,ABC
383,118,2,2,,10.0,True,Q_learning,ABC
384,119,0,0,1.0,,,Q_learning,ABC
385,119,1,1,1.0,-1.0,False,Q_learning,ABC
386,119,2,2,,10.0,True,Q_learning,ABC
387,120,0,0,1.0,,,Q_learning,ABC
388,120,1,1,1.0,-1.0,False,Q_learning,ABC
389,120,2,2,,10.0,True,Q_learning,ABC
390,121,0,0,1.0,,,Q_learning,ABC
391,121,1,1,1.0,-1.0,False,Q_learning,ABC
392,121,2,2,,10.0,True,Q_learning,ABC
393,122,0,0,1.0,,,Q_learning,ABC
394,122,1,1,1.0,-1.0,False,Q_learning,ABC
395,122,2,2,,10.0,True,Q_learning,ABC
396,123,0,0,1.0,,,Q_learning,ABC
397,123,1,1,1.0,-1.0,False,Q_learning,ABC
398,123,2,2,,10.0,True,Q_learning,ABC
399,124,0,0,1.0,,,Q_learning,ABC
400,124,1,1,1.0,-1.0,False,Q_learning,ABC
401,124,2,2,,10.0,True,Q_learning,ABC
402,125,0,0,1.0,,,Q_learning,ABC
403,125,1,1,1.0,-1.0,False,Q_learning,ABC
404,125,2,2,,10.0,True,Q_learning,ABC
405,126,0,0,1.0,,,Q_learning,ABC
406,126,1,1,1.0,-1.0,False,Q_learning,ABC
407,126,2,2,,10.0,True,Q_learning,ABC
408,127,0,0,1.0,,,Q_learning,ABC
409,127,1,1,1.0,-1.0,False,Q_learning,ABC
410,127,2,2,,10.0,True,Q_learning,ABC
411,128,0,0,1.0,,,Q_learning,ABC
412,128,1,1,1.0,-1.0,False,Q_learning,ABC
413,128,2,2,,10.0,True,Q_learning,ABC
414,129,0,0,1.0,,,Q_learning,ABC
415,129,1,1,1.0,-1.0,False,Q_learning,ABC
416,129,2,2,,10.0,True,Q_learning,ABC
417,130,0,0,1.0,,,Q_learning,ABC
418,130,1,1,1.0,-1.0,False,Q_learning,ABC
419,130,2,2,,10.0,True,Q_learning,ABC
420,131,0,0,1.0,,,Q_learning,ABC
421,131,1,1,1.0,-1.0,False,Q_learning,ABC
422,131,2,2,,10.0,True,Q_learning,ABC
423,132,0,0,1.0,,,Q_learning,ABC
424,132,1,0,1.0,-1.0,False,Q_learning,ABC
425,132,2,1,1.0,-1.0,False,Q_learning,ABC
426,132,3,2,,10.0,True,Q_learning,ABC
427,133,0,0,1.0,,,Q_learning,ABC
428,133,1,0,1.0,-1.0,False,Q_learning,ABC
429,133,2,1,1.0,-1.0,False,Q_learning,ABC
430,133,3,2,,10.0,True,Q_learning,ABC
431,134,0,0,1.0,,,Q_learning,ABC
432,134,1,1,1.0,-1.0,False,Q_learning,ABC
433,134,2,2,,10.0,True,Q_learning,ABC
434,135,0,0,1.0,,,Q_learning,ABC
435,135,1,1,1.0,-1.0,False,Q_learning,ABC
